,Intervention Type,count
0,Behavioral,4847
1,Drug,1856
2,Combination Product,1144
3,Other,840
4,Dietary Supplement,553
5,Device,464
6,Procedure,449
7,Diagnostic Test,186
8,Biological,155
9,Radiation,56
