Intervention Type,Mixed or Unknown,Negative,Neutral,Positive
Behavioral,233,103,1056,3455
Biological,6,9,35,105
Combination Product,54,38,252,800
Device,18,19,127,300
Diagnostic Test,13,14,61,98
Dietary Supplement,25,18,129,381
Drug,78,122,603,1053
Other,80,99,186,475
Procedure,18,13,129,289
Radiation,1,2,28,25
