,Disease Subtype,count
0,Unclassified,4188
1,Depression generic,3583
2,MDD,1322
3,Anxiety/comorbid anxiety,870
4,Metabolic/cardiopulmonary,550
5,Cancer-related,546
6,PTSD/trauma,403
7,Pain/fibromyalgia,403
8,Neurocognitive/neurodegenerative,344
9,Substance use,255
10,Bipolar depression,236
11,Sleep/insomnia,212
12,Psychosis/schizophrenia,166
13,Treatment-resistant depression,164
14,Peripartum/postpartum depression,139
15,HIV/infectious,124
