numeric_id,normalized_label,frequency,top6_code
1,White,174,A
2,Black,132,B
3,Hispanic/Latino,72,C
4,Mixed,21,D
5,Asian,13,E
6,Other,4,F
7,Pacific Islander,2,
8,Indigenous,1,
